Offset,Name,Description
0h,CM_PER_L4LS_CLKSTCTRL,
4h,CM_PER_L3S_CLKSTCTRL,
Ch,CM_PER_L3_CLKSTCTRL,
14h,CM_PER_CPGMAC0_CLKCTRL,
18h,CM_PER_LCDC_CLKCTRL,
1Ch,CM_PER_USB0_CLKCTRL,
24h,CM_PER_TPTC0_CLKCTRL,
28h,CM_PER_EMIF_CLKCTRL,
2Ch,CM_PER_OCMCRAM_CLKCTRL,
30h,CM_PER_GPMC_CLKCTRL,
34h,CM_PER_MCASP0_CLKCTRL,
38h,CM_PER_UART5_CLKCTRL,
3Ch,CM_PER_MMC0_CLKCTRL,
40h,CM_PER_ELM_CLKCTRL,
44h,CM_PER_I2C2_CLKCTRL,
48h,CM_PER_I2C1_CLKCTRL,
4Ch,CM_PER_SPI0_CLKCTRL,
50h,CM_PER_SPI1_CLKCTRL,
60h,CM_PER_L4LS_CLKCTRL,
68h,CM_PER_MCASP1_CLKCTRL,
6Ch,CM_PER_UART1_CLKCTRL,
70h,CM_PER_UART2_CLKCTRL,
74h,CM_PER_UART3_CLKCTRL,
78h,CM_PER_UART4_CLKCTRL,
7Ch,CM_PER_TIMER7_CLKCTRL,
80h,CM_PER_TIMER2_CLKCTRL,
84h,CM_PER_TIMER3_CLKCTRL,
88h,CM_PER_TIMER4_CLKCTRL,
ACh,CM_PER_GPIO1_CLKCTRL,
B0h,CM_PER_GPIO2_CLKCTRL,
B4h,CM_PER_GPIO3_CLKCTRL,
BCh,CM_PER_TPCC_CLKCTRL,
C0h,CM_PER_DCAN0_CLKCTRL,
C4h,CM_PER_DCAN1_CLKCTRL,
CCh,CM_PER_EPWMSS1_CLKCTRL,
D4h,CM_PER_EPWMSS0_CLKCTRL,
D8h,CM_PER_EPWMSS2_CLKCTRL,
DCh,CM_PER_L3_INSTR_CLKCTRL,
E0h,CM_PER_L3_CLKCTRL,
E4h,CM_PER_IEEE5000_CLKCTRL,
E8h,CM_PER_PRU_ICSS_CLKCTRL,
ECh,CM_PER_TIMER5_CLKCTRL,
F0h,CM_PER_TIMER6_CLKCTRL,
F4h,CM_PER_MMC1_CLKCTRL,
F8h,CM_PER_MMC2_CLKCTRL,
FCh,CM_PER_TPTC1_CLKCTRL,
100h,CM_PER_TPTC2_CLKCTRL,
10Ch,CM_PER_SPINLOCK_CLKCTRL,
110h,CM_PER_MAILBOX0_CLKCTRL,
11Ch,CM_PER_L4HS_CLKSTCTRL,
120h,CM_PER_L4HS_CLKCTRL,
12Ch,CM_PER_OCPWP_L3_CLKSTCTRL,
130h,CM_PER_OCPWP_CLKCTRL,
140h,CM_PER_PRU_ICSS_CLKSTCTRL,
144h,CM_PER_CPSW_CLKSTCTRL,
148h,CM_PER_LCDC_CLKSTCTRL,
14Ch,CM_PER_CLKDIV32K_CLKCTRL,
150h,CM_PER_CLK_24MHZ_CLKSTCTRL,
