Offset,Name,Description
0h,IEP_TMR_GLB_CFG,
4h,IEP_TMR_GLB_STS,
8h,IEP_TMR_COMPEN,
Ch,IEP_TMR_CNT,
10h,IEP_TMR_CAP_CFG,
14h,IEP_TMR_CAP_STS,
18h,IEP_TMR_CAPR0,
1Ch,IEP_TMR_CAPR1,
20h,IEP_TMR_CAPR2,
24h,IEP_TMR_CAPR3,
28h,IEP_TMR_CAPR4,
2Ch,IEP_TMR_CAPR5,
30h,IEP_TMR_CAPR6,
34h,IEP_TMR_CAPF6,
38h,IEP_TMR_CAPR7,
3Ch,IEP_TMR_CAPF7,
40h,IEP_TMR_CMP_CFG,
44h,IEP_TMR_CMP_STS,
48h,IEP_TMR_CMP0,
4Ch,IEP_TMR_CMP1,
50h,IEP_TMR_CMP2,
54h,IEP_TMR_CMP3,
58h,IEP_TMR_CMP4,
5Ch,IEP_TMR_CMP5,
60h,IEP_TMR_CMP6,
64h,IEP_TMR_CMP7,
80h,IEP_TMR_RXIPG0,
84h,IEP_TMR_RXIPG1,
100h,IEP_SYNC_CTRL,
104h,IEP_SYNC_FIRST_STAT,
108h,IEP_SYNC0_STAT,
10Ch,IEP_SYNC1_STAT,
110h,IEP_SYNC_PWIDTH,
114h,IEP_SYNC0_PERIOD,
118h,IEP_SYNC1_DELAY,
11Ch,IEP_SYNC_START,
200h,IEP_WD_PREDIV,
204h,IEP_PDI_WD_TIM,
208h,IEP_PD_WD_TIM,
20Ch,IEP_WD_STATUS,
210h,IEP_WD_EXP_CNT,
214h,IEP_WD_CTRL,
300h,IEP_DIGIO_CTRL,
308h,IEP_DIGIO_DATA_IN,
30Ch,IEP_DIGIO_DATA_IN_RAW,
310h,IEP_DIGIO_DATA_OUT,
314h,IEP_DIGIO_DATA_OUT_EN,
318h,IEP_DIGIO_EXP,
