Offset,Name,Description
0h,TBCTL,Time-Base Control Register
2h,TBSTS,Time-Base Status Register
4h,TBPHSHR,Extension for HRPWM Phase Register
6h,TBPHS,Time-Base Phase Register
8h,TBCNT,Time-Base Counter Register
Ah,TBPRD,Time-Base Period Register
Eh,CMPCTL,Counter-Compare Control Register
10h,CMPAHR,Extension for HRPWM Counter-Compare A Register
12h,CMPA,Counter-Compare A Register
14h,CMPB,Counter-Compare B Register
16h,AQCTLA,Action-Qualifier Control Register for Output A (EPWMxA)
18h,AQCTLB,Action-Qualifier Control Register for Output B (EPWMxB)
1Ah,AQSFRC,Action-Qualifier Software Force Register
1Ch,AQCSFRC,Action-Qualifier Continuous S/W Force Register Set
1Eh,DBCTL,Dead-Band Generator Control Register
20h,DBRED,Dead-Band Generator Rising Edge Delay Count Register
22h,DBFED,Dead-Band Generator Falling Edge Delay Count Register
24h,TZSEL,Trip-Zone Select Register
28h,TZCTL,Trip-Zone Control Register
2Ah,TZEINT,Trip-Zone Enable Interrupt Register 
2Ch,TZFLG,Trip-Zone Flag Register
2Eh,TZCLR,Trip-Zone Clear Register
30h,TZFRC,Trip-Zone Force Register
32h,ETSEL,Event-Trigger Selection Register
34h,ETPS,Event-Trigger Pre-Scale Register
36h,ETFLG,Event-Trigger Flag Register
38h,ETCLR,Event-Trigger Clear Register
3Ah,ETFRC,Event-Trigger Force Register
3Ch,PCCTL,PWM-Chopper Control Register
C0h,HRCNFG,HRPWM configuration Register
