Offset,Name,Description
0h,control_revision,
4h,control_hwinfo,
10h,control_sysconfig,
40h,control_status,
110h,control_emif_sdram_config,
428h,core_sldo_ctrl,
42Ch,mpu_sldo_ctrl,
444h,clk32kdivratio_ctrl,
448h,bandgap_ctrl,
44Ch,bandgap_trim,
458h,pll_clkinpulow_ctrl,
468h,mosc_ctrl,
470h,deepsleep_ctrl,
50Ch,dpll_pwr_sw_status,
600h,device_id,
604h,dev_feature,
608h,init_priority_0,
60Ch,init_priority_1,
614h,tptc_cfg,
620h,usb_ctrl0,
624h,usb_sts0,
628h,usb_ctrl1,
62Ch,usb_sts1,
630h,mac_id0_lo,
634h,mac_id0_hi,
638h,mac_id1_lo,
63Ch,mac_id1_hi,
644h,dcan_raminit,
648h,usb_wkup_ctrl,
650h,gmii_sel,
664h,pwmss_ctrl,
670h,mreqprio_0,
674h,mreqprio_1,
690h,hw_event_sel_grp1,
694h,hw_event_sel_grp2,
698h,hw_event_sel_grp3,
69Ch,hw_event_sel_grp4,
6A0h,smrt_ctrl,
6A4h,mpuss_hw_debug_sel,
6A8h,mpuss_hw_dbg_info,
770h,vdd_mpu_opp_050,
774h,vdd_mpu_opp_100,
778h,vdd_mpu_opp_120,
77Ch,vdd_mpu_opp_turbo,
7B8h,vdd_core_opp_050,
7BCh,vdd_core_opp_100,
7D0h,bb_scale,
7F4h,usb_vid_pid,
7FCh,efuse_sma,
800h,conf_gpmc_ad0,
804h,conf_gpmc_ad1,
808h,conf_gpmc_ad2,
80Ch,conf_gpmc_ad3,
810h,conf_gpmc_ad4,
814h,conf_gpmc_ad5,
818h,conf_gpmc_ad6,
81Ch,conf_gpmc_ad7,
820h,conf_gpmc_ad8,
824h,conf_gpmc_ad9,
828h,conf_gpmc_ad10,
82Ch,conf_gpmc_ad11,
830h,conf_gpmc_ad12,
834h,conf_gpmc_ad13,
838h,conf_gpmc_ad14,
83Ch,conf_gpmc_ad15,
840h,conf_gpmc_a0,
844h,conf_gpmc_a1,
848h,conf_gpmc_a2,
84Ch,conf_gpmc_a3,
850h,conf_gpmc_a4,
854h,conf_gpmc_a5,
858h,conf_gpmc_a6,
85Ch,conf_gpmc_a7,
860h,conf_gpmc_a8,
864h,conf_gpmc_a9,
868h,conf_gpmc_a10,
86Ch,conf_gpmc_a11,
870h,conf_gpmc_wait0,
874h,conf_gpmc_wpn,
878h,conf_gpmc_ben1,
87Ch,conf_gpmc_csn0,
880h,conf_gpmc_csn1,
884h,conf_gpmc_csn2,
888h,conf_gpmc_csn3,
88Ch,conf_gpmc_clk,
890h,conf_gpmc_advn_ale,
894h,conf_gpmc_oen_ren,
898h,conf_gpmc_wen,
89Ch,conf_gpmc_ben0_cle,
8A0h,conf_lcd_data0,
8A4h,conf_lcd_data1,
8A8h,conf_lcd_data2,
8ACh,conf_lcd_data3,
8B0h,conf_lcd_data4,
8B4h,conf_lcd_data5,
8B8h,conf_lcd_data6,
8BCh,conf_lcd_data7,
8C0h,conf_lcd_data8,
8C4h,conf_lcd_data9,
8C8h,conf_lcd_data10,
8CCh,conf_lcd_data11,
8D0h,conf_lcd_data12,
8D4h,conf_lcd_data13,
8D8h,conf_lcd_data14,
8DCh,conf_lcd_data15,
8E0h,conf_lcd_vsync,
8E4h,conf_lcd_hsync,
8E8h,conf_lcd_pclk,
8ECh,conf_lcd_ac_bias_en,
8F0h,conf_mmc0_dat3,
8F4h,conf_mmc0_dat2,
8F8h,conf_mmc0_dat1,
8FCh,conf_mmc0_dat0,
900h,conf_mmc0_clk,
904h,conf_mmc0_cmd,
908h,conf_mii1_col,
90Ch,conf_mii1_crs,
910h,conf_mii1_rx_er,
914h,conf_mii1_tx_en,
918h,conf_mii1_rx_dv,
91Ch,conf_mii1_txd3,
920h,conf_mii1_txd2,
924h,conf_mii1_txd1,
928h,conf_mii1_txd0,
92Ch,conf_mii1_tx_clk,
930h,conf_mii1_rx_clk,
934h,conf_mii1_rxd3,
938h,conf_mii1_rxd2,
93Ch,conf_mii1_rxd1,
940h,conf_mii1_rxd0,
944h,conf_rmii1_ref_clk,
948h,conf_mdio,
94Ch,conf_mdc,
